Guest_ID,Gender,Frequent_Traveler,Age,Type,Flight_Class,Points,Room,Check-in/Check-out,F&B,Location,Wifi,Entertainment,Gym,Spa,Staff,Pool,Baggage_Handling,Reception,Cleanliness,Online_Booking,Deposit_Kept,Time_Room_Service,Repeater
20265,Female,1,42,Business travel,Business,2174,3,3,2,3,2,3,4,3,3,4,3,1,3,2,0,0,0
10902,Female,1,51,Personal Travel,Eco,56,3,3,3,3,5,5,5,5,1,4,2,2,4,5,0,0,1
18243,Male,1,45,Business travel,Business,1646,2,2,5,2,2,5,4,5,5,5,5,4,5,5,0,0,1
13570,Male,1,47,Business travel,Business,3323,1,2,1,1,5,5,4,4,4,3,4,3,4,4,0,0,1
14875,Male,1,46,Business travel,Eco,3477,2,1,1,1,2,2,2,2,2,3,2,1,4,2,0,0,0
17991,Female,1,40,Business travel,Business,77,1,4,4,4,2,4,4,2,2,2,1,1,2,3,18,4.5,0
13293,Male,0,30,Business travel,Business,1873,1,1,1,5,2,1,5,2,4,4,4,3,5,2,35,2.5,0
15839,Male,1,62,Personal Travel,Eco,4747,1,4,1,4,1,5,5,5,2,4,5,5,4,5,19,3.1,0
15681,Female,1,31,Business travel,Business,5191,2,2,2,2,5,5,5,5,4,2,3,3,4,5,0,0,1
11846,Female,1,55,Business travel,Business,351,5,5,5,5,2,4,5,5,5,5,5,5,5,4,0,0,1
13566,Male,1,9,Business travel,Business,3235,1,1,1,1,1,1,1,1,3,2,3,3,4,1,22,2.7,0
18629,Female,1,65,Personal Travel,Eco Plus,873,1,1,1,1,5,3,4,5,5,5,5,4,5,3,0,0,1
19256,Male,1,59,Personal Travel,Eco Plus,1980,3,1,3,3,2,3,2,2,1,1,4,3,4,2,66,8.2,0
19942,Male,1,9,Business travel,Business,2178,2,1,2,2,1,2,1,1,3,2,4,4,4,1,0,0.1,1
22561,Female,1,45,Personal Travel,Eco,440,0,4,0,2,3,2,5,4,4,0,4,3,4,4,0,0,1
12011,Male,1,30,Personal Travel,Eco,2149,1,4,1,4,3,1,3,3,1,1,3,3,1,3,0,0,0
17905,Female,1,44,Business travel,Business,551,3,3,3,3,2,5,4,5,5,5,5,3,5,5,15,0,1
16067,Male,1,34,Business travel,Business,2717,3,5,4,5,1,3,4,3,3,3,3,1,3,3,0,0,0
18349,Female,1,25,Personal Travel,Eco,1789,3,3,3,3,2,5,5,5,5,5,5,3,5,4,0,0,1
20865,Female,1,51,Business travel,Business,96,5,5,5,5,2,4,5,5,5,5,4,5,5,5,0,0.4,1
14612,Male,1,43,Personal Travel,Eco,1986,3,5,3,5,3,3,3,3,1,4,4,2,2,3,3,0,0
20216,Male,1,60,Business travel,Business,97,4,4,4,4,3,5,4,4,4,4,5,3,4,3,0,0,1
21752,Female,1,12,Personal Travel,Eco,4030,1,5,1,3,1,4,4,3,3,5,4,4,4,4,194,20.5,0
18930,Male,1,23,Business travel,Business,1896,5,5,5,5,5,5,5,5,4,3,4,4,4,5,37,3,1
20895,Male,1,61,Business travel,Eco,1824,4,1,1,1,4,4,4,4,3,4,3,2,5,4,16,1.4,1
20357,Female,0,26,Business travel,Business,1554,2,0,2,4,5,2,5,5,3,3,4,4,5,5,0,0,0
12723,Female,1,67,Personal Travel,Eco,555,1,1,1,1,5,5,4,5,5,5,5,3,5,5,86,6.8,1
18219,Male,1,30,Business travel,Business,4184,1,1,1,1,5,5,5,5,5,5,1,5,1,5,25,1.8,1
18460,Male,1,58,Business travel,Business,2217,4,4,4,4,2,4,5,5,5,5,5,3,5,3,86,8.1,1
15814,Male,1,53,Business travel,Business,3948,1,1,1,1,3,4,5,5,5,5,5,4,5,5,0,0,1
21150,Female,0,27,Business travel,Business,2233,4,4,4,3,4,4,2,4,1,2,4,3,4,4,26,2.3,0
11079,Female,1,38,Business travel,Eco,2263,4,2,2,2,4,4,4,4,2,2,5,3,2,4,15,0.5,1
20836,Male,1,37,Business travel,Eco,1714,4,3,3,3,4,3,4,4,4,5,3,2,4,4,0,0,0
21206,Female,1,57,Personal Travel,Eco,343,5,4,5,3,5,5,5,4,4,5,4,3,4,3,1,0.2,1
22482,Male,1,26,Personal Travel,Eco,1927,1,5,1,2,2,1,5,2,2,4,2,2,4,2,0,0,0
13284,Male,1,59,Personal Travel,Eco,1997,5,4,5,4,5,5,4,5,5,3,4,3,5,5,0,0,1
13375,Male,1,60,Business travel,Business,69,5,5,5,5,5,5,4,4,4,4,5,5,4,5,14,3,1
16475,Female,1,39,Business travel,Business,3976,3,3,3,3,2,5,5,5,5,5,5,3,5,3,0,0,1
15084,Female,1,18,Personal Travel,Eco Plus,1091,4,4,4,4,3,5,4,5,5,5,5,3,5,5,0,0,1
22424,Male,1,46,Business travel,Business,3343,2,4,4,4,2,4,3,2,2,2,2,1,2,3,0,0.5,0
22038,Male,1,19,Personal Travel,Eco,1811,1,1,1,4,4,1,1,4,3,1,3,1,3,4,4,0,0
18102,Male,1,7,Personal Travel,Eco,1515,2,4,2,3,2,2,2,2,5,5,4,4,5,2,0,0,0
20204,Female,0,62,Business travel,Eco,1603,3,3,2,2,2,2,2,2,1,5,3,1,3,2,113,10.7,0
19167,Female,1,33,Personal Travel,Eco,2626,3,3,2,2,2,3,3,1,5,4,3,3,1,3,151,15.5,0
12137,Male,1,66,Personal Travel,Eco,921,3,2,3,3,4,3,4,4,1,2,4,1,3,4,0,0.2,0
13825,Male,1,29,Personal Travel,Eco Plus,2439,1,5,1,1,2,1,3,2,2,2,3,5,5,2,0,0,0
10742,Female,1,48,Business travel,Business,1867,1,1,1,1,4,4,4,2,2,2,2,3,2,4,14,0,1
20645,Male,1,40,Business travel,Business,53,2,2,2,2,3,4,3,4,4,4,5,2,4,5,0,0,1
18383,Female,1,36,Business travel,Eco,1096,4,3,3,3,4,4,4,4,3,4,4,3,2,4,49,5.8,1
18643,Female,1,51,Business travel,Business,3579,4,4,4,4,4,4,4,4,4,4,4,3,4,5,0,0.1,1
19062,Female,1,49,Business travel,Business,2688,2,2,2,2,4,2,2,4,4,4,4,5,4,5,0,0,1
13896,Male,1,59,Business travel,Eco,1447,4,3,3,3,3,4,3,3,4,2,2,1,2,3,0,0,1
12485,Male,0,45,Business travel,Eco,2133,1,0,1,1,1,2,5,1,2,2,3,5,2,5,156,13.9,0
18446,Female,1,61,Business travel,Business,3177,4,2,5,2,4,4,4,3,3,3,4,3,3,4,9,0,0
17046,Female,1,48,Business travel,Business,2718,2,2,2,2,4,5,5,5,5,5,5,4,5,4,36,4,1
21829,Female,0,22,Business travel,Business,1648,3,2,3,3,2,3,2,2,1,1,3,2,3,2,94,7.7,0
18179,Female,1,31,Personal Travel,Eco,2051,0,4,0,2,5,0,5,5,3,5,4,4,5,5,0,0,1
10336,Male,0,37,Business travel,Eco,1084,4,0,3,2,3,3,3,3,5,4,3,2,5,3,55,5.1,0
19447,Male,1,15,Personal Travel,Eco,1621,0,4,0,3,2,0,4,2,1,4,1,2,2,2,5,0,1
16710,Female,1,58,Business travel,Eco,2779,4,4,4,4,4,4,4,5,4,2,3,4,4,4,244,26.1,1
14279,Male,1,45,Business travel,Business,2593,5,5,5,5,5,4,4,5,5,5,5,3,5,4,48,4.3,1
12998,Male,1,32,Personal Travel,Eco Plus,1367,3,4,3,5,2,3,1,2,4,4,5,2,5,2,0,0.6,0
16222,Male,1,70,Personal Travel,Eco,1743,2,5,2,1,4,2,4,4,3,3,4,3,4,4,0,0,0
21753,Male,1,46,Business travel,Business,1884,4,4,4,4,3,5,5,4,4,5,4,4,4,5,0,0.8,1
15060,Male,0,22,Business travel,Eco,1320,3,5,3,3,2,3,2,2,5,5,4,5,4,2,0,0.1,0
17962,Female,1,38,Business travel,Business,2837,2,2,5,2,2,5,4,5,5,5,5,3,5,4,13,0,1
22560,Male,1,53,Business travel,Business,3683,2,1,4,4,3,2,2,2,2,2,2,4,2,2,42,2.5,0
11673,Female,1,30,Business travel,Business,3031,3,3,3,3,3,3,3,3,4,4,3,2,4,3,0,0,0
10869,Male,1,8,Personal Travel,Eco,2695,2,4,2,4,2,2,5,2,1,2,1,1,1,2,3,3.2,0
12008,Female,1,13,Business travel,Eco,2635,3,1,1,1,3,3,2,3,2,4,3,2,4,3,0,0.2,0
20496,Male,0,22,Business travel,Eco,1698,2,4,2,3,2,2,3,2,1,1,3,3,3,2,10,0,0
22283,Female,1,19,Personal Travel,Eco,973,1,1,1,1,3,3,4,5,5,5,5,3,5,4,0,0,1
18144,Male,0,57,Business travel,Business,1631,1,2,2,4,1,1,1,1,3,5,4,5,5,1,0,0,0
19026,Male,0,40,Business travel,Business,1423,4,4,4,4,4,4,4,4,5,5,5,4,5,4,0,0,0
16987,Female,1,11,Business travel,Business,2761,3,1,1,1,3,3,3,3,4,1,4,3,3,3,0,0,0
15276,Male,1,43,Business travel,Business,828,5,5,5,5,2,4,5,3,3,3,3,3,3,4,0,0,1
13105,Female,0,47,Business travel,Eco,1705,1,2,1,1,4,1,4,4,1,5,2,3,2,4,0,0,0
10578,Female,1,37,Personal Travel,Eco,1609,4,4,0,4,1,0,2,1,2,1,4,3,4,1,26,0.8,1
19124,Female,1,26,Business travel,Business,4811,1,4,4,4,1,1,1,1,3,4,3,2,3,1,0,0,0
10061,Female,1,59,Business travel,Business,3603,4,4,4,4,3,5,5,4,4,4,4,4,4,3,0,0,1
20959,Male,1,36,Personal Travel,Eco,1840,1,3,1,1,3,1,4,3,3,5,4,4,1,3,0,0,0
22262,Male,1,31,Business travel,Business,4687,5,5,5,5,5,5,5,5,4,3,5,4,5,5,0,0.3,1
22072,Male,1,45,Business travel,Business,3994,4,4,4,4,2,4,4,4,4,5,4,3,4,4,0,0,1
22431,Male,1,32,Business travel,Business,3485,4,4,4,4,3,3,3,3,3,2,1,4,1,3,0,0,1
10755,Male,1,44,Business travel,Business,2491,3,3,3,3,5,4,5,2,2,2,2,5,2,3,0,0,1
18694,Female,1,25,Business travel,Business,4718,2,3,3,3,2,2,2,2,1,2,2,4,3,2,0,0,0
20770,Male,1,46,Personal Travel,Eco,3705,1,3,1,5,5,1,1,5,2,5,3,2,3,5,0,0,0
11791,Male,1,60,Personal Travel,Eco,3692,1,4,1,3,2,1,2,2,5,2,3,5,5,2,0,0,0
11395,Male,0,26,Business travel,Business,2075,1,1,1,3,2,1,2,2,5,2,5,4,5,2,0,0,0
16843,Female,1,25,Business travel,Eco,2280,5,2,2,2,5,5,3,5,5,4,4,5,4,5,6,0,1
19196,Male,1,66,Personal Travel,Eco Plus,1447,2,4,2,2,2,2,2,2,3,4,5,4,5,2,0,0,0
17563,Female,0,37,Business travel,Eco,2351,2,2,2,3,4,2,4,4,2,2,3,3,3,4,27,1.2,0
20582,Female,0,22,Business travel,Eco Plus,2783,2,1,2,3,1,2,1,1,4,5,4,2,4,1,0,0,0
13440,Male,0,30,Business travel,Eco,1556,2,2,2,4,4,2,4,4,4,5,4,3,4,4,35,2.9,0
18932,Male,1,40,Business travel,Eco,1646,5,3,3,3,5,5,5,5,3,2,5,3,1,5,28,3.8,1
13909,Female,1,47,Business travel,Business,647,5,5,5,5,2,4,4,5,5,5,5,5,5,4,0,0,1
12505,Female,1,41,Business travel,Eco,1528,4,3,2,2,4,4,4,4,2,1,4,5,4,4,0,0,1
12764,Female,0,22,Business travel,Eco,2729,2,3,3,2,3,2,3,3,5,1,5,4,1,3,1,0,0
16901,Female,1,18,Business travel,Business,1625,4,4,4,4,5,5,5,5,3,2,5,5,4,5,63,4.7,1
20831,Female,1,47,Business travel,Business,318,1,1,1,1,4,4,4,5,5,5,5,3,5,5,0,0,1
10834,Female,1,17,Personal Travel,Eco,1697,4,4,4,4,4,5,4,4,4,5,4,3,4,3,0,0,1
16195,Male,1,56,Personal Travel,Eco,1903,3,4,3,3,5,3,5,5,4,2,5,3,5,5,0,0,0
20291,Female,1,34,Personal Travel,Eco,3112,1,1,1,1,4,4,4,4,4,4,4,4,4,4,25,1,1
14570,Male,1,45,Business travel,Business,92,4,4,4,4,1,4,4,5,5,5,4,2,5,1,14,1,1
20451,Male,1,25,Business travel,Eco Plus,2038,3,1,3,3,3,3,2,3,1,5,4,3,3,3,41,3.7,0
22989,Female,1,47,Business travel,Business,2925,5,5,5,5,3,5,4,5,5,5,5,5,5,4,0,0,1
11257,Male,0,28,Business travel,Business,1024,4,4,4,3,5,4,5,5,3,5,4,5,5,5,12,0,0
13092,Female,0,26,Business travel,Business,2448,4,4,4,1,2,4,2,2,3,3,5,3,5,2,0,0,0
22882,Male,1,11,Business travel,Business,4166,4,4,4,4,4,4,4,4,3,5,4,4,3,4,0,0,0
21616,Female,1,45,Business travel,Business,2501,0,0,0,1,5,5,4,4,4,4,4,3,4,4,0,0,1
21239,Female,1,23,Personal Travel,Eco Plus,1438,1,1,1,1,5,4,5,4,4,4,4,5,4,3,0,0.1,1
14871,Male,0,17,Business travel,Eco,1245,2,0,3,3,2,3,2,2,2,5,3,1,4,2,0,0,0
19512,Female,1,20,Personal Travel,Eco,3675,5,5,5,5,3,3,3,4,4,4,4,2,4,4,0,0,1
22908,Male,1,15,Personal Travel,Eco,2112,2,5,2,3,3,2,3,3,3,5,3,5,5,3,0,0,0
11958,Female,1,55,Personal Travel,Business,2611,3,3,3,3,4,5,5,4,4,5,4,5,4,4,0,0,1
22027,Female,0,61,Business travel,Business,1139,5,5,5,3,4,5,4,4,4,4,4,3,4,4,0,0,1
19009,Male,0,37,Business travel,Eco,2113,2,1,1,1,4,1,4,4,2,3,3,2,2,4,0,0.4,0
22379,Female,0,46,Business travel,Business,2425,3,3,3,5,4,3,4,4,4,4,3,3,4,4,0,0,1
16511,Female,1,53,Personal Travel,Business,637,2,2,2,2,3,5,5,4,4,4,4,3,4,5,34,0.8,1
12751,Female,1,38,Business travel,Business,312,2,1,1,1,5,3,4,2,2,2,2,3,2,1,0,0,0
15141,Female,1,55,Personal Travel,Eco,1085,5,5,4,4,2,5,4,2,2,4,2,4,2,5,0,0,1
17129,Male,1,42,Business travel,Business,2013,4,4,2,4,4,5,4,4,4,4,4,4,4,5,0,0,1
12396,Male,0,34,Business travel,Business,2705,2,2,2,3,2,4,4,5,2,5,5,4,5,4,297,29,0
22438,Male,1,33,Business travel,Eco,1228,5,4,4,4,5,5,5,5,2,1,2,5,1,5,32,3.2,1
21466,Male,1,28,Personal Travel,Eco,1892,1,1,0,4,5,0,5,5,4,2,4,4,3,5,0,0,0
18274,Male,1,11,Personal Travel,Eco,2503,4,4,4,3,3,4,3,3,4,3,4,3,5,3,0,0,0
17766,Male,1,47,Business travel,Business,1825,1,2,2,2,1,4,3,1,1,1,1,3,1,4,65,6.6,0
14376,Female,0,38,Business travel,Eco,893,3,0,3,1,3,3,3,3,4,1,2,3,3,3,0,0,0
12833,Female,1,32,Business travel,Eco Plus,2046,3,1,1,1,3,3,3,3,3,4,3,3,2,3,25,1,0
15584,Male,1,49,Business travel,Business,803,1,1,1,1,5,4,4,4,4,4,4,5,4,4,3,0.4,1
18584,Female,1,35,Business travel,Business,328,2,2,2,2,2,4,5,5,5,5,5,5,5,3,42,4.6,1
18059,Female,1,52,Business travel,Business,872,2,2,2,2,2,5,4,5,5,5,5,5,5,3,0,0,1
22017,Male,1,16,Personal Travel,Eco,2890,2,4,2,4,1,2,4,1,4,4,4,3,5,1,4,0,0
20121,Female,1,41,Business travel,Business,1715,1,1,1,1,4,4,4,5,5,5,5,4,5,3,0,0,1
12842,Female,1,45,Personal Travel,Eco Plus,889,4,4,4,4,3,5,5,4,4,4,4,4,4,3,13,0.7,1
22999,Male,1,48,Business travel,Business,1599,1,1,1,1,3,5,3,4,4,4,4,4,4,3,0,0,1
18275,Male,1,37,Business travel,Business,2511,3,3,3,3,3,3,5,5,5,5,5,3,5,5,9,0,1
18894,Male,1,51,Business travel,Business,3207,3,3,3,3,2,5,5,3,3,3,3,3,3,5,0,0,1
10479,Female,1,54,Business travel,Business,3442,5,5,5,5,3,5,5,4,4,4,4,5,4,5,41,2.1,1
11938,Male,1,48,Business travel,Eco,2260,2,1,1,1,2,2,2,2,2,5,3,1,4,2,0,0,0
19035,Male,0,56,Business travel,Business,1579,3,3,3,3,2,3,2,2,1,3,2,1,2,2,0,0,0
21947,Male,1,21,Personal Travel,Eco Plus,2972,3,0,3,4,4,3,4,4,4,2,3,2,4,4,10,0.5,0
14060,Female,1,69,Personal Travel,Eco,262,0,1,0,3,2,0,2,2,2,2,3,1,3,2,0,0,1
16503,Female,1,44,Personal Travel,Eco,323,4,4,2,1,2,2,2,3,3,2,3,4,3,2,0,0,0
22622,Female,1,21,Personal Travel,Eco,2125,1,1,1,1,2,4,2,4,4,4,4,1,4,5,0,0,1
16355,Male,1,69,Business travel,Eco Plus,2115,2,2,3,2,3,2,3,3,3,1,4,4,4,3,0,0,0
22355,Male,1,37,Business travel,Business,1543,2,5,5,5,2,1,2,3,3,3,2,2,3,3,0,0,0
13527,Female,0,27,Business travel,Business,1774,2,2,2,2,3,2,3,3,4,4,4,4,4,3,0,0.3,0
10800,Male,0,37,Business travel,Business,2436,2,2,2,3,5,2,5,5,5,4,4,5,4,5,0,0,0
12752,Male,1,64,Personal Travel,Eco Plus,3794,2,5,2,4,2,1,1,5,3,3,5,1,4,1,570,56.7,0
11271,Female,0,30,Business travel,Eco,1689,3,4,3,4,3,3,3,3,4,2,4,3,4,3,0,0,0
13797,Male,1,70,Business travel,Business,2904,3,3,3,3,1,2,3,4,4,4,4,5,4,1,0,0,1
15232,Male,1,25,Personal Travel,Eco,2190,2,5,2,5,3,2,3,3,1,2,5,1,2,3,0,0,0
16849,Female,1,40,Business travel,Business,3902,1,1,2,1,4,5,1,4,4,5,3,2,4,3,0,0,1
