Employee_ID,Gender,Age,Days_off,Rotations,Satis_leader,Satis_team,Emails,Tenure,Bonus,Distance,Kids,Overtime,Marital_status,Department,Churn_risk
1000061,male,36,7,1,0.182370821,0.64,25,11.61643836,0.32,3.01,1,10.4,married,sales,low
1000062,male,35,6,1,2.872340426,0.944,44,18.63013699,1,2.99,0,9,together,sales,low
1000063,male,31,7,1,2.370820669,0.864,62,24.87671233,0.734,3.25,1,10.4,together,accounting,low
1000064,male,29,5,1,0.182370821,1.008,35,10.08219178,0.11,3.38,0,12.2,together,marketing,medium
1000065,male,35,8,1,2.249240122,0.864,28,19.06849315,0.898,3.18,0,9.7,together,sales,low
1000066,male,27,7,0,0.881458967,0.736,49,21.5890411,0.37,3.3,1,10.3,together,marketing,low
1000067,male,29,5,0,0.227963526,0.448,20,12.16438356,0.228,3.41,1,10,together,finances,low
1000068,male,31,7,1,1.003039514,0.672,34,12.71232877,0.123,2.97,0,12.2,together,sales,high
1000069,male,33,4,1,2.317629179,0.752,45,17.31506849,0.946,3.34,1,9.1,together,computer services,medium
1000070,male,34,4,1,2.3556231,0.768,70,22.24657534,0.899,3.25,1,9.4,together,computer services,low
1000071,male,29,6,1,0.334346505,0.72,20,8.438356164,0.27,3.3,0,10.2,together,sales,low
1000072,female,30,7,1,0.334346505,3.68,19,3.835616438,0.34,3.37,1,12.4,together,marketing,medium
1000073,male,24,7,0,0.243161094,0.496,24,11.39726027,-0.04,3.44,0,12.2,together,sales,medium
1000074,female,40,4,1,0.265957447,1.136,45,9.643835616,0.524,3.33,1,11.8,married,sales,medium
1000075,male,29,5,1,0.106382979,0.816,24,12.16438356,0.16,3.37,0,11,together,sales,low
1000076,male,29,7,1,2.006079027,0.816,54,22.02739726,0.76,3.25,0,9,together,human resources,low
1000077,female,33,14,0,0.303951368,1.216,12,2.191780822,0.546,3.29,1,10.1,together,finances,low
1000078,male,28,5,1,0.334346505,0.416,54,13.80821918,-0.02,3.43,1,12.9,together,finances,high
1000079,male,34,5,1,0.197568389,0.64,26,9.205479452,0.222,3.28,1,10.7,together,marketing,medium
1000080,male,32,6,1,0.349544073,0.48,11,11.28767123,0.106,3.06,0,11.1,together,human resources,medium
1000081,male,33,5,1,2.87993921,0.608,42,16.98630137,0.99,2.97,0,9,together,accounting,medium
1000082,male,28,6,1,1.03343465,0.768,61,24.32876712,0.53,3.19,0,9.3,together,sales,low
1000083,male,41,7,1,0.288753799,0.64,9,13.26027397,0.53,3.19,0,9.9,married,computer services,medium
1000084,male,28,8,0,0.212765957,0.672,7,6.02739726,0.135,3.37,0,11.2,together,sales,low
1000085,female,33,12,0,0.273556231,1.184,16,3.726027397,0.72,3.47,1,9.9,together,finances,medium
1000086,male,35,6,1,0.243161094,1.392,27,19.39726027,0.438,3.09,1,9.8,together,accounting,low
1000087,male,27,3,1,0.273556231,0.72,96,18.63013699,0.035,3.38,1,11.8,together,computer services,high
1000088,male,30,8,0,1.41337386,0.688,28,15.89041096,0.433,3.23,1,10.98,together,sales,low
1000089,male,31,3,1,0.303951368,0.624,34,13.69863014,0.22,3.26,1,10.8,together,sales,medium
1000090,female,37,12,0,0.395136778,0.896,3,0.767123288,0.286,3.22,0,13,married,computer services,low
1000091,male,28,7,1,0.714285714,0.56,36,12.71232877,0.1,3.31,1,12.6,together,accounting,medium
1000092,female,38,9,1,0.349544073,1.008,10,3.068493151,0.613,3.25,1,10.2,married,sales,medium
1000093,female,34,7,1,0.37993921,1.024,21,4.054794521,0.52,3.35,1,12.1,together,marketing,medium
1000094,male,34,3,1,0.212765957,1.024,34,18.19178082,0.136,3.11,0,11.43333333,together,finances,medium
1000095,male,32,4,1,1.063829787,1.008,50,18.4109589,0.57,3.54,1,10.3,together,marketing,medium
1000096,male,40,5,1,1.717325228,0.496,13,10.52054795,0.645,3.11,0,10.8,married,sales,low
1000097,male,35,8,0,0.212765957,0.96,15,18.4109589,0.44,3.06,0,9.4,together,sales,medium
1000098,female,42,6,1,0.303951368,1.088,10,2.630136986,0.523,3.27,1,11.7,married,computer services,medium
1000099,male,33,7,1,0.759878419,0.64,40,15.67123288,0.173,3.33,0,12.2,together,sales,medium
1000100,female,47,6,1,0.349544073,1.28,22,5.04109589,0.88,3.32,1,9.7,married,marketing,medium
1000101,male,31,5,1,0.440729483,0.416,48,13.80821918,0.089,3.22,0,11.3,together,marketing,medium
1000102,female,37,13,1,0.303951368,0.96,38,6.794520548,0.58,3.26,1,10.2,married,human resources,medium
1000103,female,50,6,1,0.243161094,1.344,19,2.95890411,0.545,3.28,1,11.9,married,finances,medium
1000104,male,33,5,1,0.334346505,0.592,37,11.17808219,0.2,3.27,1,11,together,finances,medium
1000105,male,31,4,1,0.182370821,0.784,26,16.65753425,0.346,3.5,0,10,together,accounting,medium
1000106,male,32,9,1,0.531914894,0.528,27,14.79452055,0.06,3,0,12,together,sales,medium
1000107,male,27,7,1,0.151975684,0.64,13,19.06849315,0.2,3.27,1,10,together,marketing,low
1000108,male,32,5,1,0.691489362,0.848,41,23.12328767,0.55,3.37,1,9.5,together,accounting,medium
1000109,female,43,13,1,0.410334347,1.552,29,7.123287671,0.88,3.28,1,9.6,married,marketing,low
1000110,male,34,6,1,1.960486322,0.64,60,24.21917808,0.831,3.05,1,9.4,together,human resources,low
1000111,male,31,8,1,0.410334347,0.864,27,22.1369863,0.48,3.46,1,10.5,together,human resources,medium
1000112,male,48,3,1,0.212765957,0.592,5,3.616438356,0.39,2.89,0,9.6,married,sales,low
1000113,female,37,9,1,0.349544073,1.2,10,5.260273973,0.76,3.34,0,9.4,married,sales,low
1000114,male,31,5,1,1.762917933,0.72,45,19.50684932,0.691,3.33,0,9.8,together,sales,medium
1000115,male,27,10,1,0.227963526,0.592,19,8.547945205,0.057,3.47,0,11.9,together,marketing,medium
1000116,male,29,6,1,2.158054711,0.592,24,10.84931507,0.528,3.08,0,10.6,together,sales,medium
1000117,male,27,5,1,1.580547112,0.32,7,6.246575342,0.4,3.39,0,10.6,together,finances,low
1000118,male,36,5,1,2.082066869,0.704,66,20.16438356,0.976,3.22,1,8.9,married,marketing,low
1000119,male,30,4,1,1.382978723,0.704,35,13.91780822,0.326,2.97,0,11,together,finances,medium
1000120,male,37,5,1,1.018237082,0.624,22,7.01369863,0.362,2.93,0,10.7,married,sales,low
1000121,male,33,5,1,0.349544073,0.72,40,12.93150685,0.064,3.16,0,11.9,together,sales,medium
1000122,male,34,6,1,1.960486322,0.784,62,17.80821918,0.84,3.06,0,9.1,together,marketing,medium
1000123,male,38,6,1,0.273556231,0.496,30,10.19178082,0.17,3.09,0,11.4,married,computer services,low
1000124,male,28,5,0,1.063829787,0.88,50,21.26027397,0.591,3.21,0,9,together,marketing,low
1000125,male,33,4,1,0.227963526,0.592,29,12.60273973,0.27,3.11,1,10.5,together,human resources,medium
1000126,female,42,9,1,0.395136778,1.344,21,8.219178082,0.87,3.35,1,9.7,married,sales,low
1000127,male,30,6,0,0.820668693,0.672,67,19.83561644,0.435,3.31,0,10.2,together,sales,medium
1000128,female,32,8,0,0.364741641,1.36,21,4.383561644,0.68,3.43,1,9.7,together,sales,medium
1000129,male,29,5,1,0.440729483,0.624,30,13.47945205,-0.041,3.12,0,12.8,together,sales,medium
1000130,male,43,4,1,0.258358663,0.8,28,19.50684932,0.54,3.16,0,9,married,marketing,low
1000131,male,31,3,1,1.899696049,0.56,18,17.09589041,0.666,2.88,0,9,together,sales,medium
1000132,male,30,4,1,2.158054711,0.624,47,14.1369863,0.678,3.28,1,10.3,together,sales,medium
1000133,male,29,7,1,1.109422492,0.704,56,26.73972603,0.56,3.36,1,10,together,computer services,medium
1000134,male,38,6,1,1.079027356,0.672,22,13.5890411,0.44,3.14,0,10.8,married,accounting,medium
1000135,male,30,7,1,0.835866261,0.768,42,18.95890411,0.51,3.19,1,9.3,together,computer services,medium
1000136,male,29,6,1,0.653495441,0.416,22,11.50684932,-0.1,2.98,1,13.1,together,sales,high
1000137,male,27,7,1,0.759878419,0.848,29,11.61643836,0.458,3.13,1,9,together,sales,low
1000138,male,29,6,0,1.063829787,0.72,30,14.90410959,0.49,3.18,0,9.6,together,computer services,medium
1000139,male,30,4,1,0.790273556,0.64,31,15.34246575,0.5,3.26,1,9.5,together,sales,medium
1000140,male,31,8,1,0.94224924,0.896,42,26.4109589,0.68,3.5,1,9.9,together,sales,low
1000141,male,31,5,1,0.212765957,0.912,33,16.65753425,0.34,3.22,1,9.5,together,marketing,medium
1000142,male,33,4,1,0.577507599,0.656,82,20.49315068,0.32,3.19,1,11.2,together,finances,medium
1000143,male,32,4,1,0.714285714,0.656,40,16.21917808,0.32,3.16,0,10.2,together,human resources,medium
1000144,male,31,6,1,1.170212766,0.704,63,23.23287671,0.526,3.22,0,9.7,together,sales,medium
1000145,female,55,7,2,0.349544073,1.248,12,2.630136986,0.58,3,1,12.8,married,accounting,medium
1000146,male,34,3,1,0.212765957,0.752,23,11.7260274,0.39,3.52,1,10.4,together,sales,medium
1000147,male,35,5,2,1.816109422,0.64,51,17.42465753,0.839,2.98,0,8.7,together,sales,low
1000148,male,32,7,1,0.243161094,0.624,10,13.5890411,0.48,3.3,1,9.6,together,accounting,low
1000149,male,29,4,1,1.778115502,0.768,49,16.10958904,0.482,3.22,0,10.8,together,accounting,low
1000150,male,31,4,1,0.212765957,0.752,30,12.49315068,0.14,2.92,0,10.8,together,sales,medium
1000151,male,32,4,1,0.440729483,0.736,40,13.26027397,0.13,3.07,1,10.9,together,marketing,medium
1000152,female,49,6,1,0.334346505,1.008,18,4.383561644,0.76,3.14,1,9.8,married,computer services,medium
1000153,male,30,5,1,0.319148936,0.672,35,10.95890411,0.094,3.03,1,10.9,together,finances,medium
1000154,male,35,6,1,0.197568389,0.704,11,13.80821918,0.293,3.28,0,10.3,together,sales,low
1000155,male,28,8,1,0.410334347,0.608,39,20.49315068,0.325,3.41,1,10.8,together,human resources,medium
1000156,female,31,12,0,0.288753799,1.28,8,2.739726027,0.746,3.69,1,10.5,together,sales,low
1000157,male,31,5,1,0.220364742,0.64,40,9.753424658,0.11,3.35,0,11.4,together,finances,medium
1000158,female,38,16,0,0.334346505,1.424,13,2.849315068,0.78,3.37,0,9.6,married,computer services,low
1000159,female,46,7,1,0.227963526,0.928,31,5.150684932,0.676,3.26,1,10.6,married,sales,medium
1000160,male,,12,0,1.048632219,0.688,34,16.32876712,0.44,3.34,1,9.7,single,sales,low
1000161,male,39,4,1,0.197568389,0.608,45,13.36986301,0.178,3.13,1,10.8,married,sales,medium
1000162,male,26,5,1,0.136778116,0.4,11,5.369863014,-0.155,3.29,0,13.1,together,finances,medium
1000163,male,28,5,1,0.729483283,1.008,31,22.02739726,0.64,3.69,1,10,together,finances,low
1000164,male,33,12,1,0.258358663,0.816,25,17.64383562,0.46,3.36,1,10.6,together,accounting,low
1000165,male,37,5,1,1.565349544,0.624,73,23.23287671,0.69,2.93,0,9.5,married,marketing,medium
1000166,male,28,4,1,1.32218845,0.576,47,13.91780822,0.368,3.18,0,10.6,together,finances,low
1000167,male,34,4,1,2.112462006,0.912,45,16.98630137,0.807,2.94,0,8.8,together,computer services,high
1000168,female,35,8,1,0.37993921,1.248,6,2.520547945,0.57,3.3,1,11.2,together,sales,low
1000169,male,36,6,1,1.580547112,0.496,47,21.26027397,0.692,3.07,1,9.6,married,marketing,medium
1000170,male,31,4,1,0.258358663,0.656,53,17.64383562,0.207,3.13,0,10.2,together,sales,medium
1000171,male,32,11,1,1.656534954,0.96,55,21.15068493,0.69,3.21,0,9.4,together,accounting,low
1000172,male,29,8,1,1.109422492,0.56,23,12.82191781,0.172,3.2,0,11.94,together,sales,medium
1000173,male,40,7,1,1.686930091,0.48,43.5,18.73972603,0.48,3.03,0,12,married,human resources,low
1000174,male,33,6,1,2.066869301,0.8,40,18.4109589,0.76,3.07,1,9.6,together,marketing,medium
1000175,male,31,3,1,0.395136778,0.48,33,8.547945205,0.146,3.22,1,11.3,together,computer services,medium
1000176,male,34,5,1,0.577507599,0.752,16,8.657534247,0.173,3.07,0,11.3,together,human resources,medium
1000177,female,40,9,1,0.288753799,0.928,18,4.164383562,0.518,3.16,1,11.1,married,marketing,medium
1000178,male,30,6,1,0.790273556,0.64,44,19.61643836,0.48,3.19,1,9.4,together,accounting,medium
1000179,male,27,6,0,0.167173252,0.464,12,9.095890411,-0.02,3.3,0,11.4,together,sales,medium
1000180,male,33,5,1,0.349544073,0.528,29,11.17808219,0.08,3.26,1,12.3,together,sales,medium
1000181,female,37,8,1,0.273556231,2.512,2,4.931506849,0.727,3.31,1,9.5,married,accounting,medium
1000182,female,39,7,1,0.334346505,1.296,32,8.657534247,0.64,3.3,1,11,married,marketing,medium
1000183,male,31,5,1,1.869300912,0.816,35,16,0.676,3.1,1,9.4,together,finances,low
1000184,male,32,6,1,0.136778116,0.592,40,17.09589041,-0.032,3.08,0,12.1,together,human resources,medium
1000185,male,29,5,0,0.516717325,0.784,47,18.84931507,0.24,3.14,0,10.4,together,sales,medium
1000186,male,36,8,1,1.170212766,0.576,11,12.05479452,0.66,3.33,1,10,married,sales,medium
1000187,male,31,9,1,0.721884498,0.544,29,14.68493151,0.056,3.29,0,13,together,marketing,medium
1000188,male,,3,1,0.288753799,0.8,20,8.547945205,0.18,3.43,1,10.8,single,computer services,medium
1000189,female,64,8,2,0.440729483,1.36,17,4.712328767,1.14,3.06,1,10,married,accounting,medium
1000190,female,32,13,0,0.364741641,3.856,6,1.97260274,0.61,3.4,1,10.3,together,finances,medium
1000191,male,31,7,1,0.243161094,0.656,29,12.49315068,0.014,3.23,0,12.6,together,computer services,medium
1000192,female,41,19,0,0.273556231,1.2,5,2.082191781,0.616,3.3,0,9.6,married,sales,low
1000193,female,31,10,0,0.273556231,0.992,21,3.068493151,0.352,3.44,1,12.3,together,sales,medium
1000194,female,33,14,1,0.303951368,1.408,9,10.08219178,0.63,3.28,1,9.4,together,computer services,low
1000195,male,28,8,0,0.592705167,0.96,27,12.38356164,0.344,3.07,0,9.2,together,sales,low
1000196,female,34,15,1,0.288753799,1.728,18,11.17808219,0.67,3.26,1,9.3,together,computer services,low
1000197,male,39,4,1,1.79331307,0.88,51,18.63013699,1.04,3.34,1,8.9,married,accounting,medium
1000198,male,35,6,2,1.23100304,0.592,53,18.19178082,0.66,2.9,0,8.9,together,marketing,medium
1000199,male,30,6,1,0.37993921,0.624,34,15.01369863,-0.054,3.22,0,12.7,together,sales,medium
1000200,male,32,6,1,0.182370821,0.704,14,7.342465753,0.19,3.05,0,10.6,together,human resources,low
1000201,male,32,6,1,1.382978723,0.592,16,8.328767123,0.48,3.05,1,11.1,together,sales,low
1000202,male,29,6,1,0.987841945,0.768,61,20.38356164,0.48,3.19,0,9.6,together,marketing,low
1000203,female,32,7,1,0.273556231,1.072,4,0.876712329,0.28,3.36,1,12.8,together,marketing,medium
1000204,male,31,8,1,1.398176292,0.576,10,10.08219178,0.206,3.07,0,12.1,together,sales,medium
1000205,male,31,4,1,0.94224924,0.752,36,12.82191781,0.45,3.34,0,9.6,together,marketing,medium
1000206,female,57,8,2,0.349544073,1.456,6,1.97260274,1.04,3.16,0,9.5,widow,human resources,low
1000207,male,40,6,1,0.85106383,0.624,28,7.342465753,0.328,2.96,1,11,married,sales,low
1000208,male,37,4,1,2.218844985,0.704,45,17.8630137,1.03,3.21,1,8.6,married,marketing,medium
1000209,female,62,9,1,0.288753799,1.12,15,4.383561644,1.04,3.06,0,9,widow,sales,low
1000210,female,28,4,1,0.212765957,1.056,40.5,18.08219178,0.12,3.25,1,11.9,together,accounting,medium
1000211,female,38,27,0,0.258358663,1.296,3,1.315068493,0.64,3.53,0,10.9,married,finances,low
1000212,male,32,5,1,1.808510638,0.832,54,17.53424658,0.546,3.03,1,10.4,together,sales,medium
1000213,male,30,5,1,1.717325228,0.608,69,21.04109589,0.573,3.14,1,10.2,together,accounting,medium
1000214,male,33,4,1,1.32218845,0.72,37,24.32876712,0.54,3.25,1,10.4,together,computer services,medium
1000215,male,30,2,1,0.296352584,0.608,73,18.19178082,-0.1,3.12,0,12.9,together,sales,medium
1000216,male,31,5,1,1.428571429,0.448,13,13.26027397,0.254,3.17,0,12.1,together,sales,medium
1000217,female,46,13,1,0.486322188,1.328,21,6.465753425,0.89,3.37,1,11.5,married,sales,medium
1000218,female,35,10,0,0.227963526,1.264,11,4.273972603,0.68,3.42,1,9.6,together,computer services,low
1000219,male,28,3,1,0.501519757,0.64,10,7.561643836,0.34,3.54,1,10.1,together,finances,medium
1000220,male,35,4,1,0.182370821,0.8,26,14.35616438,0.133,3.19,1,11.1,together,sales,low
1000221,male,32,7,1,1.124620061,0.72,34,15.67123288,0.226,3.06,1,12.2,together,human resources,medium
1000222,male,31,4,1,0.212765957,0.784,36,12.2739726,0.091,3.02,1,11,together,computer services,medium
1000223,male,26,3,1,0.440729483,0.624,10,11.83561644,0.243,3.28,1,10,together,sales,low
1000224,male,30,4,1,0.151975684,0.72,39,11.83561644,0.11,3.31,0,10.9,together,sales,medium
1000225,male,30,3,1,0.273556231,0.544,43,16.43835616,0.22,3.42,1,11,together,sales,high
1000226,male,32,9,1,1.291793313,0.768,10,16.10958904,0.74,3.32,0,9.5,together,sales,medium
1000227,male,29,5,1,1.200607903,0.848,45,16.32876712,0.545,3.23,1,9.3,together,human resources,low
1000228,female,34,8,1,0.303951368,1.28,7,3.835616438,0.61,3.33,0,9.5,together,sales,low
1000229,female,49,7,1,0.349544073,1.392,6,2.191780822,0.676,3.14,1,11.1,married,accounting,medium
1000230,male,27,6,1,0.303951368,0.48,38,15.56164384,-0.108,3.41,0,12.9,together,sales,medium
1000231,female,53,7,1,0.303951368,1.312,6,1.643835616,0.88,2.94,1,9.2,married,computer services,medium
1000232,male,27,4,1,3.434650456,1.92,55,13.36986301,0.636,3.1,0,12.8,together,sales,low
1000233,male,32,5,0,0.197568389,0.64,87,18.4109589,0.2,3.18,0,10,together,sales,low
1000234,female,38,7,1,0.364741641,1.216,11,5.150684932,0.599,3.27,1,11,married,sales,medium
1000235,male,28,6,1,0.759878419,0.624,36,12.49315068,0.09,3.3,1,12.3,together,sales,high
1000236,male,30,5,1,1.762917933,0.752,60,23.12328767,0.66,3.18,1,9.3,together,computer services,low
1000237,male,38,7,2,2.112462006,0.688,22,18.73972603,0.873,2.99,1,9.3,married,accounting,low
1000238,male,23,5,1,1.785714286,0.48,34,12.93150685,0.54,3.07,1,9.4,together,marketing,medium
1000239,male,30,6,1,0.258358663,0.64,41,21.04109589,0.22,3.26,1,10.4,together,computer services,medium
1000240,female,38,6,1,0.364741641,0.832,4,1.095890411,0.356,3.33,1,12.8,married,sales,medium
1000241,male,39,6,1,1.519756839,0.672,33,18.52054795,0.82,3.23,1,9.3,married,accounting,medium
1000242,male,23,3,1,0.227963526,0.416,24,12.60273973,0.06,3.48,0,10.8,together,computer services,medium
1000243,male,32,4,1,1.489361702,0.624,29,12.38356164,0.406,3.11,0,10.9,together,accounting,medium
1000244,male,31,5,1,1.550151976,1.12,44,19.61643836,0.666,2.86,0,8.9,together,computer services,medium
1000245,female,35,10,1,0.364741641,1.456,8,4.164383562,0.8,3.47,1,9.6,together,accounting,medium
1000246,female,34,17,0,0.319148936,1.472,10,2.082191781,0.66,3.39,0,9.6,together,sales,low
1000247,male,35,4,1,0.273556231,0.88,19,12.05479452,0.46,3.33,0,9.9,together,finances,low
1000248,female,34,10,1,0.319148936,0.992,31,5.917808219,0.728,3.3,1,10,together,human resources,medium
1000249,male,32,6,0,1.23100304,0.736,51,19.7260274,0.58,3.13,0,8.9,together,sales,low
1000250,male,27,4,1,0.775075988,0.624,50,15.23287671,0.165,3.16,0,11.3,together,sales,medium
1000251,male,27,8,1,0.911854103,0.544,50,13.91780822,0.2,3.51,1,12.5,together,finances,medium
1000252,male,33,6,0,0.151975684,0.672,21,15.78082192,0.304,3.13,0,9.6,together,sales,low
1000253,male,36,9,1,1.975683891,0.528,37,17.31506849,0.55,3.14,0,11.3,married,sales,medium
1000254,male,32,4,1,0.243161094,0.688,63,16.32876712,0.25,3.44,1,10.8,together,accounting,low
1000255,male,32,5,1,1.185410334,0.832,54,23.45205479,0.61,3.13,0,8.9,together,finances,low
1000256,male,34,8,1,1.03343465,0.912,41,17.8630137,0.49,3.2,0,9.9,together,computer services,medium
1000257,male,34,8,1,0.714285714,0.672,19,13.91780822,0.53,3.25,0,10.4,together,accounting,low
1000258,female,40,10,0,0.37993921,1.456,20,5.369863014,0.76,3.34,1,10.6,married,marketing,medium
1000259,male,33,5,0,1.215805471,0.704,51,18.84931507,0.64,3.16,0,9.2,together,sales,low
1000260,female,30,11,0,0.592705167,1.968,14,3.397260274,0.68,3.5,,11,together,sales,low
1000261,male,30,5,1,1.200607903,0.8,60,16.43835616,0.488,2.86,0,9.3,together,computer services,medium
1000262,female,41,18,0,0.524316109,1.408,4,1.534246575,0.94,3.44,1,11.5,married,sales,low
1000263,male,30,7,1,0.577507599,0.576,34,9.643835616,0.028,3.25,1,12.5,together,sales,medium
1000264,male,35,5,1,0.881458967,0.912,131,34.30136986,0.46,3.18,1,10.5,together,human resources,low
1000265,male,35,6,1,0.243161094,1.392,27,19.39726027,0.438,3.09,1,9.8,together,sales,low
1000266,male,31,5,1,1.170212766,0.496,36,14.79452055,0.38,3.19,0,10.5,together,sales,low
1000267,male,27,7,0,0.866261398,0.736,21,9.534246575,0.34,3.22,1,10.2,together,sales,low
